Entry	Entry name	Status	Protein names	Gene names	Organism	Gene ontology (biological process)	Gene ontology (GO)	Gene ontology IDs
P62083	RS7_RAT	reviewed	40S ribosomal protein S7 (S8)	Rps7	Rattus norvegicus (Rat)	cell differentiation [GO:0030154]; negative regulation of ubiquitin-dependent protein catabolic process [GO:2000059]; negative regulation of ubiquitin protein ligase activity [GO:1904667]; neural tube closure [GO:0001843]; positive regulation of gene expression [GO:0010628]; positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator [GO:1902255]; protein stabilization [GO:0050821]; ribosomal small subunit biogenesis [GO:0042274]; rRNA processing [GO:0006364]; translation [GO:0006412]	cytosolic ribosome [GO:0022626]; cytosolic small ribosomal subunit [GO:0022627]; microtubule organizing center [GO:0005815]; nucleolus [GO:0005730]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; ribonucleoprotein complex [GO:1990904]; small-subunit processome [GO:0032040]; synapse [GO:0045202]; mRNA 3'-UTR binding [GO:0003730]; mRNA 5'-UTR binding [GO:0048027]; poly(U) RNA binding [GO:0008266]; protein kinase binding [GO:0019901]; structural constituent of ribosome [GO:0003735]; ubiquitin ligase inhibitor activity [GO:1990948]; cell differentiation [GO:0030154]; negative regulation of ubiquitin protein ligase activity [GO:1904667]; negative regulation of ubiquitin-dependent protein catabolic process [GO:2000059]; neural tube closure [GO:0001843]; positive regulation of gene expression [GO:0010628]; positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator [GO:1902255]; protein stabilization [GO:0050821]; ribosomal small subunit biogenesis [GO:0042274]; rRNA processing [GO:0006364]; translation [GO:0006412]	GO:0001843; GO:0003730; GO:0003735; GO:0005634; GO:0005730; GO:0005815; GO:0006364; GO:0006412; GO:0008266; GO:0010628; GO:0019901; GO:0022626; GO:0022627; GO:0030154; GO:0032040; GO:0032991; GO:0042274; GO:0045202; GO:0048027; GO:0050821; GO:1902255; GO:1904667; GO:1990904; GO:1990948; GO:2000059
Q5NVA2	TRXR1_PONAB	reviewed	Thioredoxin reductase 1, cytoplasmic (TR) (EC 1.8.1.9) (Thioredoxin reductase TR1)	TXNRD1	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	cell redox homeostasis [GO:0045454]	cytoplasm [GO:0005737]; flavin adenine dinucleotide binding [GO:0050660]; thioredoxin-disulfide reductase activity [GO:0004791]; cell redox homeostasis [GO:0045454]	GO:0004791; GO:0005737; GO:0045454; GO:0050660
P49641	MA2A2_HUMAN	reviewed	Alpha-mannosidase 2x (EC 3.2.1.114) (Alpha-mannosidase IIx) (Man IIx) (Mannosidase alpha class 2A member 2) (Mannosyl-oligosaccharide 1,3-1,6-alpha-mannosidase)	MAN2A2 MANA2X	Homo sapiens (Human)	mannose metabolic process [GO:0006013]; N-glycan processing [GO:0006491]; protein deglycosylation [GO:0006517]; protein glycosylation [GO:0006486]	Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; alpha-mannosidase activity [GO:0004559]; carbohydrate binding [GO:0030246]; hydrolase activity, hydrolyzing N-glycosyl compounds [GO:0016799]; mannosyl-oligosaccharide 1,3-1,6-alpha-mannosidase activity [GO:0004572]; metal ion binding [GO:0046872]; mannose metabolic process [GO:0006013]; N-glycan processing [GO:0006491]; protein deglycosylation [GO:0006517]; protein glycosylation [GO:0006486]	GO:0000139; GO:0004559; GO:0004572; GO:0006013; GO:0006486; GO:0006491; GO:0006517; GO:0016021; GO:0016799; GO:0030246; GO:0046872
Q8MQJ9	BRAT_DROME	reviewed	Brain tumor protein	brat CG10719	Drosophila melanogaster (Fruit fly)	asymmetric cell division [GO:0008356]; asymmetric neuroblast division resulting in ganglion mother cell formation [GO:0055060]; brain development [GO:0007420]; ganglion mother cell fate determination [GO:0007402]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of gene expression [GO:0010629]; negative regulation of neuroblast proliferation [GO:0007406]; negative regulation of translation [GO:0017148]; neuroblast development [GO:0014019]; neuroblast differentiation [GO:0014016]; neuroblast fate determination [GO:0007400]; neuroblast proliferation [GO:0007405]; neuron differentiation [GO:0030182]; oogenesis [GO:0048477]; regulation of neuroblast proliferation [GO:1902692]; regulation of neurogenesis [GO:0050767]; regulation of synaptic assembly at neuromuscular junction [GO:0008582]; regulation of synaptic vesicle endocytosis [GO:1900242]; regulation of translation [GO:0006417]; rRNA transcription [GO:0009303]; segmentation [GO:0035282]; ventral cord development [GO:0007419]	apical cortex [GO:0045179]; basal cortex [GO:0045180]; cell cortex region [GO:0099738]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; neuronal cell body [GO:0043025]; mRNA 3'-UTR binding [GO:0003730]; translation regulator activity [GO:0045182]; translation repressor activity [GO:0030371]; zinc ion binding [GO:0008270]; asymmetric cell division [GO:0008356]; asymmetric neuroblast division resulting in ganglion mother cell formation [GO:0055060]; brain development [GO:0007420]; ganglion mother cell fate determination [GO:0007402]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of gene expression [GO:0010629]; negative regulation of neuroblast proliferation [GO:0007406]; negative regulation of translation [GO:0017148]; neuroblast development [GO:0014019]; neuroblast differentiation [GO:0014016]; neuroblast fate determination [GO:0007400]; neuroblast proliferation [GO:0007405]; neuron differentiation [GO:0030182]; oogenesis [GO:0048477]; regulation of neuroblast proliferation [GO:1902692]; regulation of neurogenesis [GO:0050767]; regulation of synaptic assembly at neuromuscular junction [GO:0008582]; regulation of synaptic vesicle endocytosis [GO:1900242]; regulation of translation [GO:0006417]; rRNA transcription [GO:0009303]; segmentation [GO:0035282]; ventral cord development [GO:0007419]	GO:0003730; GO:0005737; GO:0005829; GO:0006417; GO:0007400; GO:0007402; GO:0007405; GO:0007406; GO:0007419; GO:0007420; GO:0008270; GO:0008285; GO:0008356; GO:0008582; GO:0009303; GO:0010629; GO:0014016; GO:0014019; GO:0017148; GO:0030182; GO:0030371; GO:0035282; GO:0043025; GO:0045179; GO:0045180; GO:0045182; GO:0048477; GO:0050767; GO:0055060; GO:0099738; GO:1900242; GO:1902692
Q7QJ33	WDR12_ANOGA	reviewed	Ribosome biogenesis protein WDR12 homolog	AGAP007244	Anopheles gambiae (African malaria mosquito)	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000466]; maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]	nucleoplasm [GO:0005654]; PeBoW complex [GO:0070545]; preribosome, large subunit precursor [GO:0030687]; ribonucleoprotein complex binding [GO:0043021]; maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000466]; maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]	GO:0000463; GO:0000466; GO:0005654; GO:0030687; GO:0043021; GO:0070545
Q09327	MGAT3_HUMAN	reviewed	Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase (EC 2.4.1.144) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase III) (GNT-III) (GlcNAc-T III) (N-acetylglucosaminyltransferase III)	MGAT3 GGNT3	Homo sapiens (Human)	amyloid-beta metabolic process [GO:0050435]; cellular response to oxidative stress [GO:0034599]; cognition [GO:0050890]; N-acetylglucosamine metabolic process [GO:0006044]; negative regulation of lysosomal protein catabolic process [GO:1905166]; positive regulation of protein localization to early endosome [GO:1902966]; protein localization [GO:0008104]; protein N-linked glycosylation [GO:0006487]; regulation of cell migration [GO:0030334]	Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; beta-1,4-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity [GO:0003830]; glycosyltransferase activity [GO:0016757]; amyloid-beta metabolic process [GO:0050435]; cellular response to oxidative stress [GO:0034599]; cognition [GO:0050890]; N-acetylglucosamine metabolic process [GO:0006044]; negative regulation of lysosomal protein catabolic process [GO:1905166]; positive regulation of protein localization to early endosome [GO:1902966]; protein localization [GO:0008104]; protein N-linked glycosylation [GO:0006487]; regulation of cell migration [GO:0030334]	GO:0000139; GO:0003830; GO:0006044; GO:0006487; GO:0008104; GO:0016021; GO:0016757; GO:0030334; GO:0034599; GO:0050435; GO:0050890; GO:1902966; GO:1905166
Q25190	5HTR_HELVI	reviewed	5-hydroxytryptamine receptor (5-HT receptor) (Serotonin receptor)		Heliothis virescens (Tobacco budworm moth)		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0005886; GO:0016021
Q8C0D5	EFL1_MOUSE	reviewed	Elongation factor-like GTPase 1 (Elongation factor Tu GTP-binding domain-containing protein 1) (Elongation factor-like 1) (Protein FAM42A)	Efl1 Eftud1	Mus musculus (Mouse)	GTP metabolic process [GO:0046039]; mature ribosome assembly [GO:0042256]	ribonucleoprotein complex [GO:1990904]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; ribosome binding [GO:0043022]; translation elongation factor activity [GO:0003746]; GTP metabolic process [GO:0046039]; mature ribosome assembly [GO:0042256]	GO:0003746; GO:0003924; GO:0005525; GO:0042256; GO:0043022; GO:0046039; GO:1990904
Q9VPH8	RBBP5_DROME	reviewed	Retinoblastoma-binding protein 5 homolog	Rbbp5 CG5585	Drosophila melanogaster (Fruit fly)	histone H3-K4 methylation [GO:0051568]	MLL1/2 complex [GO:0044665]; MLL3/4 complex [GO:0044666]; Set1C/COMPASS complex [GO:0048188]; histone H3-K4 methylation [GO:0051568]	GO:0044665; GO:0044666; GO:0048188; GO:0051568
Q9GLM4	TENS1_BOVIN	reviewed	Tensin-1	TNS1 TNS	Bos taurus (Bovine)		cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; focal adhesion [GO:0005925]; actin binding [GO:0003779]	GO:0003779; GO:0005737; GO:0005856; GO:0005925; GO:0009986
Q8IMC6	ASATR_DROME	reviewed	Tau-tubulin kinase homolog Asator (EC 2.7.11.1)	Asator CG11533	Drosophila melanogaster (Fruit fly)	peptidyl-serine phosphorylation [GO:0018105]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; spindle [GO:0005819]; ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein threonine kinase activity [GO:0106311]; peptidyl-serine phosphorylation [GO:0018105]	GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0005819; GO:0018105; GO:0106310; GO:0106311
P17210	KINH_DROME	reviewed	Kinesin heavy chain	Khc kin CG7765	Drosophila melanogaster (Fruit fly)	actin filament bundle organization [GO:0061572]; anterograde axonal transport of mitochondrion [GO:0098957]; anterograde dendritic transport [GO:0098937]; anterograde dendritic transport of neurotransmitter receptor complex [GO:0098971]; axo-dendritic transport [GO:0008088]; axon guidance [GO:0007411]; axonogenesis [GO:0007409]; centrosome separation [GO:0051299]; cytoplasmic transport, nurse cell to oocyte [GO:0007303]; cytoskeleton-dependent intracellular transport [GO:0030705]; dendrite morphogenesis [GO:0048813]; dorsal appendage formation [GO:0046843]; eye photoreceptor cell differentiation [GO:0001754]; heterochromatin organization involved in chromatin silencing [GO:0070868]; intracellular distribution of mitochondria [GO:0048312]; larval locomotory behavior [GO:0008345]; larval somatic muscle development [GO:0007526]; microtubule-based movement [GO:0007018]; microtubule polymerization [GO:0046785]; microtubule sliding [GO:0051012]; mitochondrion distribution [GO:0048311]; nuclear migration [GO:0007097]; oocyte dorsal/ventral axis specification [GO:0007310]; oocyte microtubule cytoskeleton polarization [GO:0008103]; pole plasm assembly [GO:0007315]; pole plasm oskar mRNA localization [GO:0045451]; regulation of pole plasm oskar mRNA localization [GO:0007317]; stress granule disassembly [GO:0035617]; synaptic vesicle transport [GO:0048489]; transport along microtubule [GO:0010970]	actin cap [GO:0030478]; axon cytoplasm [GO:1904115]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite cytoplasm [GO:0032839]; kinesin complex [GO:0005871]; microtubule [GO:0005874]; microtubule plus-end [GO:0035371]; ATP binding [GO:0005524]; ATP-dependent microtubule motor activity, plus-end-directed [GO:0008574]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; motor activity [GO:0003774]; tropomyosin binding [GO:0005523]; actin filament bundle organization [GO:0061572]; anterograde axonal transport of mitochondrion [GO:0098957]; anterograde dendritic transport [GO:0098937]; anterograde dendritic transport of neurotransmitter receptor complex [GO:0098971]; axo-dendritic transport [GO:0008088]; axon guidance [GO:0007411]; axonogenesis [GO:0007409]; centrosome separation [GO:0051299]; cytoplasmic transport, nurse cell to oocyte [GO:0007303]; cytoskeleton-dependent intracellular transport [GO:0030705]; dendrite morphogenesis [GO:0048813]; dorsal appendage formation [GO:0046843]; eye photoreceptor cell differentiation [GO:0001754]; heterochromatin organization involved in chromatin silencing [GO:0070868]; intracellular distribution of mitochondria [GO:0048312]; larval locomotory behavior [GO:0008345]; larval somatic muscle development [GO:0007526]; microtubule polymerization [GO:0046785]; microtubule sliding [GO:0051012]; microtubule-based movement [GO:0007018]; mitochondrion distribution [GO:0048311]; nuclear migration [GO:0007097]; oocyte dorsal/ventral axis specification [GO:0007310]; oocyte microtubule cytoskeleton polarization [GO:0008103]; pole plasm assembly [GO:0007315]; pole plasm oskar mRNA localization [GO:0045451]; regulation of pole plasm oskar mRNA localization [GO:0007317]; stress granule disassembly [GO:0035617]; synaptic vesicle transport [GO:0048489]; transport along microtubule [GO:0010970]	GO:0001754; GO:0003774; GO:0003777; GO:0005523; GO:0005524; GO:0005737; GO:0005829; GO:0005871; GO:0005874; GO:0007018; GO:0007097; GO:0007303; GO:0007310; GO:0007315; GO:0007317; GO:0007409; GO:0007411; GO:0007526; GO:0008017; GO:0008088; GO:0008103; GO:0008345; GO:0008574; GO:0010970; GO:0030478; GO:0030705; GO:0032839; GO:0035371; GO:0035617; GO:0045451; GO:0046785; GO:0046843; GO:0048311; GO:0048312; GO:0048489; GO:0048813; GO:0051012; GO:0051299; GO:0061572; GO:0070868; GO:0098937; GO:0098957; GO:0098971; GO:1904115
A0A0R4ITC5	TRRAP_DANRE	reviewed	Transformation/transcription domain-associated protein	trrap	Danio rerio (Zebrafish) (Brachydanio rerio)	DNA repair [GO:0006281]; histone acetylation [GO:0016573]; neuromast hair cell development [GO:0035675]; regulation of transcription, DNA-templated [GO:0006355]	NuA4 histone acetyltransferase complex [GO:0035267]; nucleus [GO:0005634]; SAGA complex [GO:0000124]; transcription coregulator activity [GO:0003712]; DNA repair [GO:0006281]; histone acetylation [GO:0016573]; neuromast hair cell development [GO:0035675]; regulation of transcription, DNA-templated [GO:0006355]	GO:0000124; GO:0003712; GO:0005634; GO:0006281; GO:0006355; GO:0016573; GO:0035267; GO:0035675
Q8IRU4	PDE4E_DROME	reviewed	cAMP-specific 3',5'-cyclic phosphodiesterase, isoform F (EC 3.1.4.53) (Learning/memory process protein) (Protein dunce)	dnc CG32498	Drosophila melanogaster (Fruit fly)	anesthesia-resistant memory [GO:0007615]; associative learning [GO:0008306]; axon extension [GO:0048675]; cAMP catabolic process [GO:0006198]; cAMP-mediated signaling [GO:0019933]; chemical synaptic transmission [GO:0007268]; circadian rhythm [GO:0007623]; conditioned taste aversion [GO:0001661]; courtship behavior [GO:0007619]; learning [GO:0007612]; mating behavior [GO:0007617]; memory [GO:0007613]; negative regulation of cAMP-mediated signaling [GO:0043951]; nonassociative learning [GO:0046958]; olfactory learning [GO:0008355]; regulation of protein kinase A signaling [GO:0010738]; short-term memory [GO:0007614]; signal transduction [GO:0007165]; thermosensory behavior [GO:0040040]	cytosol [GO:0005829]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; synapse [GO:0045202]; 3',5'-cyclic-AMP phosphodiesterase activity [GO:0004115]; 3',5'-cyclic-nucleotide phosphodiesterase activity [GO:0004114]; metal ion binding [GO:0046872]; anesthesia-resistant memory [GO:0007615]; associative learning [GO:0008306]; axon extension [GO:0048675]; cAMP catabolic process [GO:0006198]; cAMP-mediated signaling [GO:0019933]; chemical synaptic transmission [GO:0007268]; circadian rhythm [GO:0007623]; conditioned taste aversion [GO:0001661]; courtship behavior [GO:0007619]; learning [GO:0007612]; mating behavior [GO:0007617]; memory [GO:0007613]; negative regulation of cAMP-mediated signaling [GO:0043951]; nonassociative learning [GO:0046958]; olfactory learning [GO:0008355]; regulation of protein kinase A signaling [GO:0010738]; short-term memory [GO:0007614]; signal transduction [GO:0007165]; thermosensory behavior [GO:0040040]	GO:0001661; GO:0004114; GO:0004115; GO:0005634; GO:0005829; GO:0006198; GO:0007165; GO:0007268; GO:0007612; GO:0007613; GO:0007614; GO:0007615; GO:0007617; GO:0007619; GO:0007623; GO:0008306; GO:0008355; GO:0010738; GO:0019933; GO:0040040; GO:0043951; GO:0045202; GO:0046872; GO:0046958; GO:0048471; GO:0048675
